agency,carpark_id,address,lat,long,price,EV,price_weekend,weekdays_rate_1,weekdays_rate_2,saturday_rate,sunday_publicholiday_rate
LTA,Z42,Eastpoint Mall,1.3424679,103.9528535,"Daily: $1.20 for 1st hr or part thereof, $0.30 for sub. 15 mins or part thereof.",1,,"Daily: $1.20 for 1st hr or part thereof, $0.30 for sub. 15 mins or part thereof.",-,Same as wkdays,Same as wkdays
LTA,Z43,Grand Mecure Roxy Hotel,1.3032139029275316,103.90476596772778,Daily: $1.60 per hr,0,,Daily: $1.60 per hr,-,-,-
LTA,Z44,IKEA (Tampines),1.37406645,103.93239854406151,Daily free: 7am-11pm,0,,Daily free: 7am-11pm,-,-,-
LTA,Z45,Katong Shopping Centre,1.30387795,103.90117314217406,7am-6pm: $1 per hr,1,,7am-6pm: $1 per hr,Aft 6pm: $2 per entry,Same as wkdays,$2 per entry
LTA,Z46,Katong Village,1.303619,103.90299495,8am-6pm: $2.20 per hr,0,,8am-6pm: $2.20 per hr,Aft 6pm: $6 per entry,Same as wkdays,Same as wkdays
LTA,Z47,Lifelong Learning Institute,1.3196263,103.8928117,6am-5:59pm: $0.90 per ½ hr. Full Day Parking-6am-11:59pm: $16.,0,,6am-5:59pm: $0.90 per ½ hr. Full Day Parking-6am-11:59pm: $16.,6pm-11.59pm: $3.21 per entry; 12am-5.59am: $12 per entry,Same as wkdays,6am-11:59pm: $3.21 per entry; 12am-5.59am: $12 per entry
LTA,Z48,Parkway Parade,1.30137335,103.90517777316566,6am-6pm: $1 for 1st hr;  $0.40 for sub. ½ hr,1,6am-10am: $0.50 for 1st hr; $0.40 for sub.15 mins; 10am-6pm: $1.30 for 1st hr; $0.40 for sub. 15 mins; 6pm-2am: $2.10 per entry. Aft 2am: $20 per entry,6am-6pm: $1 for 1st hr;  $0.40 for sub. ½ hr,6pm-2am: $1.50 per entry; Aft 2am: $20 per entry,6am-10am: $0.50 for 1st hr; $0.40 for sub.15 mins; 10am-6pm: $1.30 for 1st hr; $0.40 for sub. 15 mins; 6pm-2am: $2.10 per entry. Aft 2am: $20 per entry,Same as Saturday
LTA,Z49,Roxy Square,1.30334185,103.90464588440835,7am-6pm: $1.20 for 1st hr; $1.40 for sub. hr,0,,7am-6pm: $1.20 for 1st hr; $1.40 for sub. hr,5pm-12am: $2.50 per entry,Same as wkdays,Same as wkdays
LTA,Z50,Singapore Expo,1.3352329,103.95989311638934,Daily: $3.20 for 1st 2hrs; $1.50 for sub. ½ hr (Maximum Daily Charge:$20),0,,Daily: $3.20 for 1st 2hrs; $1.50 for sub. ½ hr (Maximum Daily Charge:$20),-,Same as wkdays,Same as wkdays
LTA,Z51,Singapore Post Centre,1.31895315,103.89479014422965,"7am-5pm: $1.60 for 1st hr, $1.00 for next sub  ½ hr",1,"7am-1pm: $1.60 for 1st hr, $1 for next sub  ½ hr. 1pm-12am: $3 per entry; 12am-7am $1.60 for 1st hr, $1.00 for next sub ½ hr.","7am-5pm: $1.60 for 1st hr, $1.00 for next sub  ½ hr","5pm-12am: $3/entry. 12am-7am: $1.60 for 1st hr, $1.00 for next sub ½ hr.","7am-1pm: $1.60 for 1st hr, $1 for next sub  ½ hr. 1pm-12am: $3 per entry; 12am-7am $1.60 for 1st hr, $1.00 for next sub ½ hr.","7am-12am: $3 per entry; 12am-7am $1.60 for 1st hr, $1.00 for next sub ½ hr ."
LTA,Z52,Tampines 1,1.35422,103.94512469625587,1st hr $1.07; 2nd hr $0.55 per ½ hr; Aft 2hrs: $0.35 per 15 mins,0,1st hr $1.28; 2nd hr $0.60 per ½ hr; Aft 2hrs: $0.45 per 15 mins,1st hr $1.07; 2nd hr $0.55 per ½ hr; Aft 2hrs: $0.35 per 15 mins,1st hr $1.07; 2nd hr $0.55 per ½ hr; Aft 2hrs: $0.35 per 15 mins,1st hr $1.28; 2nd hr $0.60 per ½ hr; Aft 2hrs: $0.45 per 15 mins,Same as Saturday
LTA,Z53,Tampines Junction,1.3525284,103.9418957,8am-5pm: $1 for 1st hr; $0.50 for sub. ½ hr,0,"Charges same as wkdays, but closed after 2pm",8am-5pm: $1 for 1st hr; $0.50 for sub. ½ hr,Aft 5pm: $2 per entry,"Charges same as wkdays, but closed after 2pm",Closed
LTA,63,Tampines Mall,1.35254345,103.9447382628525,12am-5:59pm: $1.07 for 1st hr; $0.32 for sub. 15mins,1,3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins; 6pm-2.59am: $2.14 per entry,12am-5:59pm: $1.07 for 1st hr; $0.32 for sub. 15mins,Mon-Thu: 6pm-11.59pm: $2.14 per entry; Fri & Eve of PH: 6pm-2.59am: $2.14 per entry,3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins; 6pm-2.59am: $2.14 per entry,3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins; 6pm-11.59am: $2.14 per entry
LTA,Z54,Tampines Plaza 2,1.3581609,103.9438109,8am-5pm: $1 per ½ hr,0,,8am-5pm: $1 per ½ hr,Aft 5pm: $2 per entry,Same as wkdays,$2 per entry
LTA,Z55,Telepark,1.35328795,103.94202562140418,Daily: 7am-10pm: $0.70 per ½ hr (An additional surcharge of $22 per exit after 10pm),0,,Daily: 7am-10pm: $0.70 per ½ hr (An additional surcharge of $22 per exit after 10pm),-,-,-
LTA,Z56,White Sands Shopping Centre,1.37249645,103.94974340276862,7am-7pm: $1.20 per hr for 1st 2hrs; $1.20 for sub. ½ hr,1,,7am-7pm: $1.20 per hr for 1st 2hrs; $1.20 for sub. ½ hr,Aft 7pm: $2 per entry,Same as wkdays,Same as wkdays
LTA,Z57,Carlton Hotel,1.29610635,103.8525719703944,7am-6pm: $3 for 1st hr; $1.50 for for sub. ½ hr,0,,7am-6pm: $3 for 1st hr; $1.50 for for sub. ½ hr,Aft 6pm: $6 per entry,Same as wkdays,Same as wkdays
LTA,Z58,Conrad Centennial Hotel,1.293525,103.8587748,7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr,0,$2.20 for 1st 2hrs; $1.10 for sub. hr,7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr,Aft 6pm: $2.20 per entry,$2.20 for 1st 2hrs; $1.10 for sub. hr,Same as Saturday
LTA,Z59,Copthorne King's Hotel,1.2881892,103.8366221096851,7am-12am: $3 for 1st hr; $1.50 for sub ½ hr,1,,7am-12am: $3 for 1st hr; $1.50 for sub ½ hr,Aft 12am: $4 for 1st hr; $2 for sub ½ hr,Same as wkdays,Same as wkdays
LTA,Z60,Copthorne Orchid Hotel,1.2832270766928129,103.85120698395572,"8am-5pm: $1.50 for 1st hr; $1 for sub. hr, per day $20)",0,,"8am-5pm: $1.50 for 1st hr; $1 for sub. hr, per day $20)",Aft 5pm: $3 per entry,Same as wkdays,Same as wkdays
LTA,Z61,Elizabeth Hotel,1.3080241,103.8357123,7am-5pm: $3 for 1st hr; $1.50 for sub. ½ hr,0,$4 per entry,7am-5pm: $3 for 1st hr; $1.50 for sub. ½ hr,Aft 5pm: $4 per entry,$4 per entry,Same as Saturday
LTA,Z62,Four Seasons Hotel,1.30521575,103.82868503384404,6am-5pm: $6 for 1st hr; $3 for sub. ½ hr,1,,6am-5pm: $6 for 1st hr; $3 for sub. ½ hr,Aft 5pm: $6 per entry,Same as wkdays,Same as wkdays
LTA,Z63,Furama City Centre Singapore,1.28655385,103.84462305428852,5am-5pm: $1.40 for 1st ½ hr; $1.50 for sub. ½ hr,0,,5am-5pm: $1.40 for 1st ½ hr; $1.50 for sub. ½ hr,Aft 5pm: $3 per entry,Same as wkdays,$3 per entry
LTA,Z64,Furama Riverfront Singapore,1.2875343,103.83601851528188,7am-5pm: $1 per ½ hr,0,,7am-5pm: $1 per ½ hr,Aft 5pm: $6 per entry,Same as wkdays,Same as wkdays
LTA,Z65,The Ritz Carlton,1.2905344,103.8600739,7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr,1,$2.20 for 1st 2hrs; $1.10 for sub. hr,7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr,Aft 6pm: $2.20 per entry,$2.20 for 1st 2hrs; $1.10 for sub. hr,Same as Saturday
LTA,Z66,Grand Copthorne Waterfront Hotel,1.2905075,103.8349983,7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr,0,,7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr,Aft 5pm: $4.28 per entry,Same as wkdays,$4.28 per entry
LTA,Z67,Grand Hyatt Hotel,1.3063378,103.8333174933126,4am-4.59pm: $3.21 for 1st hr; $1.07 for sub. ½ hr,0,,4am-4.59pm: $3.21 for 1st hr; $1.07 for sub. ½ hr,Aft 5pm: $5.35 per entry,Same as wkdays,4am-3.59am: $5.35 per entry
LTA,Z68,Hotel Grand Pacific,1.297477959522071,103.85279824259646,7am-5pm: $1.32 per ½ hr,1,,7am-5pm: $1.32 per ½ hr,Aft 5pm: $3.57 per entry,Same as wkdays,$3.57 per entry
LTA,Z69,Grand Park City Hall Hotel,1.2926289,103.8501239,7am-5pm: $3.28 for 1st hr; $1.55 for sub. ½ hr,0,,7am-5pm: $3.28 for 1st hr; $1.55 for sub. ½ hr,Aft 5pm: $5.35 per entry,Same as wkdays,Same as wkdays
LTA,Z70,Holiday Inn Atrium,1.2887766,103.8344626,7am-5pm: $1.80 per hr,0,,7am-5pm: $1.80 per hr,Aft 5pm: $3.60 per entry,Same as wkdays,$3.60 per entry
LTA,Z71,Holiday Inn Express Singapore,1.30313735,103.83672855727572,$3 per ½ hr.,1,,$3 per ½ hr.,$3 per ½ hr.,Same as wkdays,Same as wkdays
LTA,Z72,Holiday Inn Singapore Orchard City Centre,1.3022946,103.84109164657416,$3 for 1st hr; $1.50 for sub. ½ hr,0,,$3 for 1st hr; $1.50 for sub. ½ hr,$3 for 1st hr; $1.50 for sub. ½ hr,Same as wkdays,Same as wkdays
LTA,Z73,InterContinental Singapore,1.2983823,103.85489228120592,8am-5pm: $1.07 for 1st hr; $0.37 for sub. 10mins (Car park at Parco Bugis Junction),0,$2.50 for 1st 2hrs; $0.25 for sub. 10 mins,8am-5pm: $1.07 for 1st hr; $0.37 for sub. 10mins (Car park at Parco Bugis Junction),Mon-Thu: Aft 5pm: $2.50 per entry. Fri: $2.50 for 1st 2hrs; $0.25 for sub. 10 mins,$2.50 for 1st 2hrs; $0.25 for sub. 10 mins,Same as Saturday
LTA,Z74,M Hotel,1.2736919,103.8449023,7am-6pm: $1.50 per ½ hr,1,"Charges same as wkdays, but $3 per entry after 1pm",7am-6pm: $1.50 per ½ hr,Aft 6pm: $3 per entry,"Charges same as wkdays, but $3 per entry after 1pm",$3 per entry
LTA,Z75,Mandarin Orchard Singapore,1.3020511,103.83608227425316,7am-6pm: $3.50 for 1st hr; $1.20 for sub. ½ hr,0,,7am-6pm: $3.50 for 1st hr; $1.20 for sub. ½ hr,Aft 6pm: $6 per entry,Same as wkdays,Same as wkdays
